//name eggs hair feathers milk airbone aquatic predator toothed backbone breathes venom fins tail domestic
aardvark negative true false true false false true true true true false false false false
antelope negative true false true false false false true true true false false true false
bass positive false false false false true true true true false false true true false
bear negative true false true false false true true true true false false false false
boar negative true false true false false true true true true false false true false
buffalo negative true false true false false false true true true false false true false
calf negative true false true false false false true true true false false true true
carp positive false false false false true false true true false false true true true
catfish positive false false false false true true true true false false true true false
cavy negative true false true false false false true true true false false false true
cheetah negative true false true false false true true true true false false true false
chicken positive false true false true false false false true true false false true true
chub positive false false false false true true true true false false true true false
clam positive false false false false false true false false false false false false false
crab positive false false false false true true false false false false false false false
crayfish positive false false false false true true false false false false false false false
crow positive false true false true false true false true true false false true false
deer negative true false true false false false true true true false false true false
dogfish positive false false false false true true true true false false true true false
dolphin negative false false true false true true true true true false true true false
dove positive false true false true false false false true true false false true true
duck positive false true false true true false false true true false false true false
elephant negative true false true false false false true true true false false true false
flamingo positive false true false true false false false true true false false true false
flea positive false false false false false false false false true false false false false
frog positive false false false false true true true true true false false false false
frog positive false false false false true true true true true true false false false
fruitbat negative true false true true false false true true true false false true false
giraffe negative true false true false false false true true true false false true false
girl negative true false true false false true true true true false false false true
gnat positive false false false true false false false false true false false false false
goat negative true false true false false false true true true false false true true
gorilla negative true false true false false false true true true false false false false
gull positive false true false true true true false true true false false true false
haddock positive false false false false true false true true false false true true false
hamster negative true false true false false false true true true false false true true
hare negative true false true false false false true true true false false true false
hawk positive false true false true false true false true true false false true false
herring positive false false false false true true true true false false true true false
honeybee positive true false false true false false false false true true false false true
housefly positive true false false true false false false false true false false false false
kiwi positive false true false false false true false true true false false true false
ladybird positive false false false true false true false false true false false false false
lark positive false true false true false false false true true false false true false
leopard negative true false true false false true true true true false false true false
lion negative true false true false false true true true true false false true false
lobster positive false false false false true true false false false false false false false
lynx negative true false true false false true true true true false false true false
mink negative true false true false true true true true true false false true false
mole negative true false true false false true true true true false false true false
